ssnum,name,manager,dept,salary,numfriends
371,Sarina Johns,320,,76113.74,17
372,Sheyla Johns,66,,88240.83,36
373,Leda Johns,164,,43299.2,50
374,Sadye Johns,207,TechDept7,106456.87,14
375,Shay Johns,172,,79467.71,48
376,Lorne Johns,288,,50194.8,14
377,Add Johns,210,,63102.53,43
378,Emmanuel Johns,47,,131666.69,35
379,Ayla Johns,40,,95452.09,42
380,Etter Johns,310,,132564.14,13
381,Albertina Johns,5,TechDept2,133699.17,38
382,Lara Johns,177,,65493.16,11
383,Posey Johns,189,,118250.39,24
384,Gustie Johns,145,,76026.41,8
385,Luberta Johns,251,,98484.17,0
386,Mabel Johns,76,,95426.01,13
387,Amiya Johns,52,,140206.76,26
388,Herman Johns,33,,59108.89,7
389,Mckenzie Johns,219,,131858.37,3
390,Quinn Johns,187,,122505.41,16
391,Diya Johns,298,TechDept1,74972.29,25
392,Ogden Johns,86,,48584.3,8
393,Maceo Johns,35,,83711.54,11
394,Ardath Johns,354,,111381.83,40
395,Jerrod Johns,220,,74386.37,10
396,Woodrow Johns,346,,74571.91,31
397,Jeremy Johns,18,,38437.08,0
398,Gena Johns,29,,96276.76,19
399,Shenna Johns,175,,50766.57,9
400,Tatyana Johns,167,,77888.25,27
401,Eber Johns,32,,64794.02,41
402,Kristofer Johns,81,,129871.68,37
403,Coletta Johns,75,,124279.78,23
404,Brooks Johns,155,,120764.74,46
405,Carsen Johns,18,,57346.95,11
406,Lee Johns,390,,112556.12,49
407,Henrietta Johns,341,,144631.74,24
408,Carl Johns,123,,93902.95,10
409,Velda Johns,285,,149873.54,41
410,Deondre Johns,251,TechDept2,114420.61,7
411,Halley Johns,383,TechDept5,48317.87,11
412,Antwain Johns,185,TechDept5,55890.3,7
413,Debra Johns,219,,113336.68,41
414,Alena Johns,26,,102339.81,45
415,Ayesha Johns,265,,58891.74,4
416,Ellyn Johns,356,,141525.97,38
417,Garey Johns,305,,63064.74,49
418,Lassie Johns,178,,64328.34,0
419,Migdalia Johns,339,TechDept9,63849.73,40
420,Felix Johns,132,,37235.24,35
421,Dolly Johns,29,,98504.49,27
422,Norwood Johns,37,,73383.38,32
423,Marcella Johns,78,,148383.77,7
424,Sherry Johns,191,,64528.77,50
425,Laisha Johns,101,,133333.72,13
426,Gay Johns,420,,94600.21,6
427,Elena Johns,415,,35079.69,36
428,Cleo Johns,4,,94479.42,26
429,Karissa Johns,59,,130078.76,17
430,Madaline Johns,235,,132905.02,13
431,Uriah Johns,98,,54456.55,37
432,Anjali Johns,236,,109265.64,50
433,Maude Johns,310,,92209.45,18
434,Sylvania Johns,114,,116311.01,30
435,Nereida Johns,59,,31256.28,17
436,Hill Johns,419,TechDept2,58175.41,28
437,Kennith Johns,111,TechDept5,98681.13,36
438,Torrance Johns,153,,110026.71,29
439,Merton Johns,82,,102912.11,11
440,Littleton Johns,84,,38143.5,27
441,Paisley Johns,433,,111733.05,43
442,Valeria Johns,314,,134485.48,10
443,Emory Johns,285,,103951.94,9
444,Ainsley Johns,211,,51725.65,50
445,Linnea Johns,251,,67062.35,4
446,Diana Johns,104,,32449.02,18
447,Heriberto Johns,90,,102818.48,24
448,Demetria Johns,195,,116806.65,9
449,Amerigo Johns,260,,147363.7,30
450,Tayshaun Johns,211,,142638.88,50
451,Garret Johns,47,,71866.05,20
452,Dock Johns,444,,77643.58,17
453,Arlo Johns,248,,67670.5,1
454,Lynne Johns,64,,136475.28,14
455,Patty Johns,354,TechDept5,139070.38,42
456,Helen Johns,47,,57376.59,22
457,Dominque Johns,247,,34267.14,38
458,Diego Johns,408,,67937.85,37
459,Linus Johns,329,,115296.29,20
460,Lashunda Johns,194,,88299.42,25
461,Caroline Johns,78,,132337.22,45
462,Diane Johns,304,,90625.38,0
463,Uriel Johns,461,,57737.46,12
464,Eloisa Johns,381,,124546.85,32
465,Konnor Johns,128,,45272.17,47
466,Lisbeth Johns,97,TechDept2,40735.76,34
467,Ashlyn Johns,349,,114295.32,19
468,Janyce Johns,95,,123621.24,29
469,Bennie Johns,411,,116912.63,29
470,Derrell Johns,113,,99642.09,36
471,Ada Johns,130,,107720.96,50
472,Ewell Johns,243,,32586.96,14
473,Alf Johns,437,,30998.9,14
474,Shelli Johns,140,,62083.13,29
475,Primus Johns,11,,82868.97,22
476,Johathan Johns,119,,83302.28,2
477,Holly Johns,477,TechDept1,50017.53,48
478,Shelbi Johns,86,,101482.33,18
479,Ottis Johns,347,,54705.06,3
480,Cris Johns,188,,62228.2,39
481,Marta Johns,299,TechDept4,53517.77,43
482,Carnell Johns,189,,36302.27,39
483,Lorri Johns,363,,138587.71,16
484,Mollie Johns,81,,140405.03,8
485,Deante Johns,280,,146037.5,10
486,Kati Johns,289,,79195.53,24
487,Justice Johns,78,TechDept2,62452.7,30
488,Ned Johns,91,,43071.14,29
489,Era Johns,169,,127755.33,24
490,Arnoldo Johns,265,,133513.38,12
491,Kirt Johns,33,,98629.18,0
492,Martine Johns,411,,60990.16,9
493,Inger Johns,193,,69297.62,39
494,Misty Johns,227,,105443.96,14
495,Cicely Johns,1,,114114.93,20
496,Elaine Johns,337,,40691.75,41
497,Agnes Johns,75,,85284.48,24
498,Tamika Johns,60,,38695.96,14
499,Jayvon Johns,60,,47496.39,48
500,Scarlett Johns,144,,45489.87,38
501,Lillie Johns,225,,138181.98,5
502,Prudie Johns,329,TechDept1,144926.61,16
503,Katlin Johns,24,,107596.57,42
504,Tari Johns,321,,143497.25,26
505,Donn Johns,445,,102692.21,2
506,Odelia Johns,86,,63220.87,25
507,Manila Johns,264,,63062.13,14
508,Faye Johns,423,,100277.25,1
509,Krystal Johns,450,,37597.61,38
510,Edmon Johns,158,TechDept2,85592.54,37
511,Sarah Johns,63,,40351.43,43
512,Ozella Johns,375,,45810.95,15
513,Kyrie Johns,427,,102388.79,46
514,Rob Johns,327,,79533.72,0
515,Azariah Johns,372,,78950.69,22
516,Vera Johns,351,,120547.99,0
517,Karina Johns,509,,88906.49,26
518,Savana Johns,222,,36115.68,28
519,Tennessee Johns,94,,71043.54,18
520,Glenna Johns,152,,146104.87,45
521,Len Johns,295,,79611.35,21
522,Stacey Johns,445,TechDept4,64014.7,44
523,Verona Johns,229,,127023.04,10
524,Braeden Johns,306,,33575.06,14
525,Drucilla Johns,369,TechDept1,38980.58,50
526,Luna Johns,154,,126643.59,32
527,Tania Johns,142,,109510.3,27
528,Doctor Johns,106,,102153.58,45
529,Bartley Johns,346,TechDept6,129542.56,19
530,Antoine Johns,400,,34774.01,11
531,Brooklynn Johns,411,TechDept0,53307.16,49
532,Lily Johns,283,,140402.62,25
533,Dilan Johns,270,TechDept9,103994.44,32
534,Hobson Johns,108,,123796.38,30
535,Ely Johns,58,,41010.22,15
536,Erla Johns,250,,113148.92,3
537,Matthias Johns,55,,86895.66,14
538,Murray Johns,120,,50743.1,6
539,Hamza Johns,529,,126795.42,27
540,Ian Johns,89,,144128.23,49
541,Laquita Johns,345,,71510.11,24
542,Levar Johns,362,,35442.82,7
543,Ginger Johns,172,,57322.36,9
544,Daphne Johns,342,,75442.42,38
545,Annalise Johns,193,,96946.65,19
546,Sabrina Johns,353,,108324.9,36
547,Ashli Johns,491,,81789.89,47
548,Violet Johns,539,,132241.53,16
549,Keena Johns,90,,78775.7,11
550,Mandy Johns,255,,44000.26,15
551,Wynona Johns,74,,82171.52,47
552,Ellie Johns,207,,115334.7,41
553,Guss Johns,206,,45976.17,25
554,Monty Johns,8,,38456.25,42
555,Delois Johns,135,,76661.36,16
556,Destany Johns,85,,90661.6,38
557,Madalyn Johns,487,,76177.01,50
558,Eldora Johns,295,,31153.39,34
559,Richelle Johns,24,,57379.59,40
560,Grayce Johns,225,,84452.29,21
561,Andres Johns,199,,74195.65,20
562,Rodrigo Johns,426,,63583.54,30
563,Deshawn Johns,74,,108033.0,22
564,Gwyn Johns,441,,52474.74,6
565,Cassandra Johns,436,,56938.8,10
566,Kaley Johns,448,,44693.59,29
567,Maia Johns,397,,44617.16,45
568,Edward Johns,116,,44836.09,13
569,Aric Johns,469,,104747.11,41
570,Babyboy Johns,356,TechDept0,42142.26,37
571,Shemar Johns,356,,104837.58,1
572,Peter Johns,493,,127581.65,35
573,Pearle Johns,124,,103858.86,25
574,Nat Johns,393,,50618.34,15
575,Letty Johns,196,,123544.95,18
576,Louise Johns,269,,67607.06,0
577,Penelope Johns,374,,125986.93,27
578,Liz Johns,108,TechDept8,114464.41,23
579,Frieda Johns,481,,109441.52,39
580,Queenie Johns,472,,101158.57,37
581,Ransom Johns,264,,79233.63,5
582,Willian Johns,502,,105925.73,20
583,Daisy Johns,173,,125647.68,43
584,Reginald Johns,572,,34729.16,23
585,Kayley Johns,538,,79246.68,48
586,Winston Johns,320,,32306.23,12
587,Jeff Johns,371,,147132.59,29
588,Chandler Johns,203,,102413.28,36
589,Shanon Johns,478,,105957.22,41
590,Blair Johns,393,,131940.35,31
591,Eliza Johns,473,,78721.7,7
592,Toma Johns,106,,51804.74,24
593,Charity Johns,345,,90871.9,34
594,Hilbert Johns,191,,61702.75,40
595,Royal Johns,332,,138804.69,12
596,Tylor Johns,164,,108354.32,25
597,Damion Johns,507,,132770.32,30
598,Linnie Johns,261,,52556.0,29
599,Selene Johns,195,TechDept5,45312.06,30
600,Jannette Johns,343,,41048.9,2
601,Daija Johns,349,,45044.51,18
602,Delilah Johns,397,,110678.94,13
603,Etha Johns,588,,35287.92,21
604,Ula Johns,86,,63871.08,32
605,Gale Johns,195,,101087.01,37
606,Lotta Johns,177,,133435.01,23
607,Bryana Johns,578,,118827.35,15
608,Hobert Johns,587,,46517.2,35
609,Gaines Johns,534,,119657.67,29
610,April Johns,271,TechDept8,124083.28,3
611,Delmar Johns,600,,30940.89,18
612,Landin Johns,127,TechDept2,127555.27,40
613,Griffin Johns,393,,67875.49,49
614,Lina Johns,553,,38215.97,37
615,Thekla Johns,558,TechDept2,113867.47,18
616,Jenni Johns,308,TechDept6,36486.55,3
617,Justina Johns,553,,68960.4,28
618,Amparo Johns,490,,79267.7,49
619,Shanita Johns,58,,135914.56,9
620,Theta Johns,415,,141432.46,47
621,Bradly Johns,508,,139756.5,26
622,Presley Johns,312,,65195.52,38
623,Babe Johns,68,,128574.86,40
624,Burton Johns,43,,79933.08,9
625,Venessa Johns,608,,129730.11,50
626,Ismael Johns,70,,136629.34,3
627,Josef Johns,115,,145591.78,3
628,Margurite Johns,518,,57065.07,12
629,Wilfredo Johns,390,,31945.27,37
630,Ursula Johns,300,,46020.81,17
631,Sterling Johns,19,,140607.94,37
632,Megan Johns,275,,146731.46,2
633,Albin Johns,449,,139060.12,29
634,Burnett Johns,337,,120693.09,33
635,Wanda Johns,62,,144647.36,4
636,Ellsworth Johns,313,,60240.87,39
637,Lillis Johns,291,,73925.06,36
638,Shauna Johns,365,,144271.4,44
639,Quinton Johns,185,,140241.6,14
640,Avon Johns,370,TechDept5,128155.37,18
641,Elizabet Johns,50,,30292.93,34
642,Barton Johns,153,,89607.39,31
643,Rosemary Johns,124,,108613.87,15
644,Leopold Johns,318,,58978.86,50
645,Kate Johns,312,,144686.23,31
646,Ema Johns,426,,49482.65,38
647,Elisha Johns,307,,56873.88,28
648,Masao Johns,399,,107536.52,15
649,Tex Johns,339,,45491.6,25
650,Yvonne Johns,623,,142832.6,18
651,Winfield Johns,378,,149846.11,31
652,Kalen Johns,10,,46295.17,10
653,Kerry Johns,391,,50231.2,30
654,Kanisha Johns,237,,30079.38,42
655,Almeda Johns,243,,49838.33,15
656,Delores Johns,92,,143598.31,35
657,Aleta Johns,2,,110712.82,39
658,Jeromy Johns,400,,63720.12,8
659,Devontae Johns,157,,114501.84,14
660,Aracely Johns,383,,134395.95,22
661,Florrie Johns,86,,123974.5,18
662,Earlene Johns,2,,106980.84,45
663,Ilah Johns,564,,43909.46,42
664,Alex Johns,187,,37293.2,14
665,Arbie Johns,205,,78068.05,33
666,Maxwell Johns,325,TechDept2,49606.85,45
667,Aurelio Johns,106,,108850.32,0
668,Sibyl Johns,285,,105335.85,14
669,Belva Johns,56,,118654.58,19
670,Jocelynn Johns,616,,122347.24,45
671,Marceline Johns,163,TechDept5,128115.13,6
672,Madilynn Johns,653,,46362.13,2
673,Buell Johns,47,,89290.01,47
674,Javonte Johns,247,,113638.65,14
675,Jefferey Johns,228,,35209.19,2
676,Delcie Johns,141,,73190.95,30
677,Evelynn Johns,21,,132994.25,9
678,Rosamond Johns,381,,95072.11,20
679,Latrina Johns,652,,128911.53,21
680,Beverley Johns,215,,36712.0,10
681,Kelcie Johns,149,,91100.91,28
682,Brittnie Johns,313,TechDept4,46514.95,42
683,Clyda Johns,390,,110071.38,8
684,Imogene Johns,134,,118007.21,32
685,Dalton Johns,646,,104225.3,3
686,Brittney Johns,27,,109590.71,31
