ssnum,name,course,grade
272,Aleta Fay,Computer Science,3.86
273,Tula Fay,Chemistry,1.6
274,Marylou Fay,Computer Science,3.69
275,Henderson Fay,Math,3.95
276,Cleve Fay,Biology,1.86
277,Myles Fay,Physics,4.56
278,Shana Fay,Math,3.44
279,Stacia Fay,Biology,1.45
280,Thalia Fay,Computer Science,1.34
281,Brant Fay,Biology,1.83
282,Evaline Fay,Computer Science,1.72
283,Cruz Fay,Chemistry,3.18
284,Brandyn Fay,Chemistry,4.01
285,Gena Fay,Math,3.62
286,Harrell Fay,Math,2.86
287,Nevin Fay,Computer Science,4.81
288,Kalie Fay,Computer Science,3.59
289,Linette Fay,Math,1.24
290,Anissa Fay,Physics,4.29
291,Harmon Fay,Math,4.07
292,Malvin Fay,Biology,3.59
293,Vicie Fay,Computer Science,2.41
294,Qiana Fay,Computer Science,1.22
295,Gennie Fay,Computer Science,2.01
296,Jesica Fay,Computer Science,4.7
297,Berdie Fay,Biology,4.95
298,Drury Fay,Computer Science,1.56
299,Marisol Fay,Math,4.12
300,Jenniffer Fay,Computer Science,1.99
301,Hershel Fay,Chemistry,3.36
302,Portia Fay,Math,3.49
303,Landon Fay,Biology,1.49
304,Rhea Fay,Biology,1.57
305,Desiree Fay,Math,4.2
306,Sol Fay,Computer Science,4.66
307,Lenard Fay,Physics,4.61
308,Kristal Fay,Biology,4.86
309,Nile Fay,Computer Science,1.93
310,Perri Fay,Physics,2.64
311,Daryn Fay,Biology,3.2
312,Jenelle Fay,Computer Science,1.51
313,Zora Fay,Physics,1.49
314,Macy Fay,Physics,3.21
315,Jaycob Fay,Physics,3.53
316,Samantha Fay,Biology,3.91
317,Sharde Fay,Physics,1.16
318,Arba Fay,Biology,4.14
319,Zaire Fay,Computer Science,3.71
320,Ellery Fay,Physics,4.98
321,Elida Fay,Math,2.96
322,Rafaela Fay,Physics,2.19
323,Gorden Fay,Physics,2.37
324,Deena Fay,Chemistry,3.56
325,Van Fay,Computer Science,4.5
326,Astrid Fay,Computer Science,2.04
327,Brenton Fay,Computer Science,1.92
328,Kimora Fay,Math,3.07
329,Mandie Fay,Chemistry,2.14
330,Amaya Fay,Chemistry,3.53
331,Benedict Fay,Chemistry,2.37
332,Ruthanne Fay,Biology,2.16
333,Holli Fay,Computer Science,1.82
334,Ashby Fay,Physics,2.73
335,Alexa Fay,Biology,3.38
336,Stoney Fay,Biology,3.49
337,Fern Fay,Physics,2.4
338,Evertt Fay,Physics,4.03
339,Neal Fay,Chemistry,3.89
340,Charissa Fay,Math,1.21
341,Deloris Fay,Chemistry,3.31
342,Denisha Fay,Physics,4.37
343,Debi Fay,Biology,1.36
344,Arlis Fay,Math,1.46
345,Cale Fay,Biology,1.73
346,Elige Fay,Math,2.81
347,Mila Fay,Math,3.95
348,Deforest Fay,Computer Science,4.7
349,Leslee Fay,Physics,1.41
350,Braylen Fay,Chemistry,1.92
351,Cinthia Fay,Computer Science,3.45
352,Lee Fay,Biology,2.16
353,Titus Fay,Biology,1.72
354,Collins Fay,Computer Science,3.21
355,Ashanti Fay,Computer Science,3.63
356,Kathie Fay,Math,2.67
357,Treyton Fay,Math,2.79
358,Presley Fay,Physics,1.54
359,Freddie Fay,Physics,3.4
360,Marlen Fay,Biology,2.48
361,Dorathy Fay,Computer Science,4.95
362,Sophronia Fay,Computer Science,3.4
363,Kari Fay,Computer Science,3.24
364,Yancy Fay,Math,2.86
365,Edra Fay,Physics,1.26
366,Becky Fay,Physics,4.71
367,Nakisha Fay,Physics,4.21
368,Maricela Fay,Biology,1.24
369,Press Fay,Biology,4.04
370,Vinson Fay,Biology,2.55
371,Chiquita Fay,Biology,4.17
372,Miah Fay,Chemistry,4.72
373,Pete Fay,Physics,3.38
374,Maceo Fay,Math,1.01
375,Paulo Fay,Computer Science,3.6
376,Jaylah Fay,Chemistry,3.49
377,Donie Fay,Math,4.98
378,Haylee Fay,Physics,4.75
379,Wiliam Fay,Chemistry,2.53
380,Yamilex Fay,Biology,4.25
381,Alva Fay,Computer Science,3.15
382,Hilary Fay,Physics,4.84
383,Stephon Fay,Biology,2.95
384,Declan Fay,Chemistry,4.69
385,Authur Fay,Physics,1.83
386,Otho Fay,Chemistry,2.15
387,January Fay,Computer Science,2.36
388,Muriel Fay,Biology,1.01
389,Gilford Fay,Chemistry,4.8
390,Unique Fay,Math,2.4
391,Judy Fay,Computer Science,2.32
392,Myrtie Fay,Math,3.09
393,Abagail Fay,Computer Science,3.81
394,Georgiana Fay,Biology,4.51
395,Elsworth Fay,Biology,3.89
396,Shoji Fay,Biology,4.99
397,Pauline Fay,Chemistry,1.11
398,Florene Fay,Physics,1.42
399,Kerry Fay,Chemistry,3.17
400,Corda Fay,Computer Science,2.7
401,Werner Fay,Biology,4.79
402,Marianne Fay,Computer Science,2.65
403,Sylas Fay,Computer Science,4.19
404,Trudie Fay,Biology,3.06
405,Norman Fay,Math,3.65
406,James Fay,Computer Science,3.4
407,Veva Fay,Computer Science,1.24
408,Caren Fay,Math,3.08
409,Bertram Fay,Computer Science,4.21
410,Orren Fay,Physics,1.16
411,Christen Fay,Math,1.94
412,Leander Fay,Math,1.13
413,Clotilde Fay,Math,1.06
414,Edith Fay,Physics,1.58
415,Gisselle Fay,Math,1.65
416,Governor Fay,Physics,1.02
417,Shawnee Fay,Math,1.03
418,Sherri Fay,Computer Science,2.96
419,Arielle Fay,Computer Science,1.03
420,Derrek Fay,Chemistry,2.72
421,Ermine Fay,Physics,1.88
422,Dolph Fay,Math,4.14
423,Dagmar Fay,Chemistry,2.77
424,Oran Fay,Chemistry,1.73
425,Ricci Fay,Physics,1.88
426,Alba Fay,Computer Science,4.77
427,Shaquana Fay,Physics,4.42
428,Claudio Fay,Computer Science,2.01
429,Barton Fay,Chemistry,4.73
430,Margurite Fay,Physics,2.5
431,Marolyn Fay,Biology,3.66
432,Derl Fay,Computer Science,4.87
433,Yoshio Fay,Chemistry,1.87
434,Rocco Fay,Biology,4.43
435,Juliann Fay,Chemistry,2.88
436,Manilla Fay,Physics,4.49
437,Kiley Fay,Computer Science,2.67
438,Audy Fay,Biology,4.47
439,Alene Fay,Chemistry,2.03
440,Shakira Fay,Physics,1.93
441,Demonte Fay,Math,4.46
442,Tonia Fay,Physics,3.65
443,Harriet Fay,Math,2.48
444,Ettie Fay,Chemistry,1.58
445,Harrison Fay,Chemistry,2.34
446,Ceasar Fay,Computer Science,1.39
447,Phylicia Fay,Math,2.86
448,Ebba Fay,Physics,2.15
449,Sylvia Fay,Computer Science,1.55
450,Mena Fay,Chemistry,3.34
451,Morton Fay,Math,3.17
452,Cecily Fay,Physics,3.36
453,Myah Fay,Physics,2.83
454,Trevin Fay,Chemistry,2.13
455,Sherita Fay,Physics,1.61
456,Selma Fay,Chemistry,4.65
457,Hardie Fay,Physics,3.72
458,Danyelle Fay,Biology,1.32
459,Jackson Fay,Computer Science,4.98
460,Donna Fay,Computer Science,2.78
461,Marta Fay,Physics,4.82
462,Juwan Fay,Math,4.66
463,Errol Fay,Computer Science,1.87
464,Sherryl Fay,Biology,4.75
465,Gurney Fay,Chemistry,2.05
466,Camilla Fay,Computer Science,3.7
467,Kordell Fay,Math,4.85
468,Fredric Fay,Math,3.76
469,Francina Fay,Biology,2.89
470,Jalyn Fay,Biology,3.69
471,Tobias Fay,Chemistry,1.84
472,Savannah Fay,Math,1.79
473,Charlotta Fay,Chemistry,3.71
474,Kate Fay,Computer Science,3.93
475,Tonda Fay,Chemistry,1.7
476,Glynda Fay,Biology,3.49
477,Susannah Fay,Math,4.99
478,Mimi Fay,Chemistry,1.72
479,Allena Fay,Computer Science,1.07
480,Ayden Fay,Computer Science,4.0
481,Horton Fay,Chemistry,1.71
482,Kitty Fay,Biology,4.25
483,Cortney Fay,Computer Science,1.56
484,Shaquita Fay,Physics,4.74
485,Alverta Fay,Math,1.24
486,Kendall Fay,Computer Science,3.23
487,Alysa Fay,Physics,1.42
488,Tyreek Fay,Biology,1.44
489,Beckie Fay,Chemistry,1.53
490,Camisha Fay,Chemistry,4.02
491,Dorr Fay,Physics,2.54
492,Simone Fay,Math,3.28
493,Carley Fay,Physics,1.62
494,Burley Fay,Computer Science,3.56
495,Jazmyn Fay,Math,2.13
496,Charla Fay,Computer Science,3.91
497,Bunk Fay,Biology,2.86
498,Mansfield Fay,Biology,4.69
499,Math Fay,Physics,1.93
500,Roberta Fay,Physics,4.87
501,Roslyn Fay,Math,3.88
502,Alyse Fay,Physics,1.88
503,Leonel Fay,Math,4.77
504,Epifanio Fay,Math,1.85
505,Suzy Fay,Math,2.29
506,Kira Fay,Chemistry,1.19
507,Okey Fay,Math,1.54
508,Lexus Fay,Math,3.0
509,Ras Fay,Math,3.97
510,Giselle Fay,Biology,4.2
511,Marquise Fay,Math,3.64
512,Arie Fay,Physics,2.35
513,Shira Fay,Math,3.28
514,Gaetano Fay,Computer Science,4.19
515,Cherryl Fay,Computer Science,1.2
516,Ryder Fay,Computer Science,2.03
517,Alfredo Fay,Chemistry,4.75
518,Abby Fay,Computer Science,2.28
519,Enos Fay,Chemistry,2.68
520,Laquita Fay,Math,4.65
521,Montgomery Fay,Biology,4.49
522,Coleen Fay,Math,4.15
523,Murl Fay,Computer Science,1.64
524,Bryson Fay,Computer Science,1.8
525,Ewin Fay,Chemistry,4.43
526,Joey Fay,Chemistry,1.53
527,Christina Fay,Math,3.38
528,Elle Fay,Biology,4.83
529,Acy Fay,Chemistry,2.49
530,Marchello Fay,Biology,2.15
531,Cleon Fay,Physics,2.53
532,Clayton Fay,Chemistry,4.3
533,Rich Fay,Math,4.84
534,Donaciano Fay,Biology,4.01
535,Theola Fay,Math,2.8
536,Shawnna Fay,Computer Science,4.0
537,Cas Fay,Math,1.62
538,Annabell Fay,Computer Science,1.24
539,Karel Fay,Biology,4.18
540,Mack Fay,Math,1.58
541,Lolita Fay,Biology,2.22
542,Atlas Fay,Computer Science,2.48
543,Kandy Fay,Math,3.53
544,Madalynn Fay,Math,4.69
545,Ludwig Fay,Chemistry,3.09
546,Yee Fay,Physics,4.84
547,Jaycie Fay,Physics,1.44
548,Angelita Fay,Computer Science,2.03
549,Jaye Fay,Biology,2.73
550,Travis Fay,Chemistry,4.75
551,Olene Fay,Physics,3.09
552,Gunnar Fay,Math,3.74
553,Elyse Fay,Physics,3.7
554,Dionicio Fay,Physics,1.59
555,Margene Fay,Computer Science,2.0
556,Hayleigh Fay,Physics,2.52
557,Aniya Fay,Biology,4.06
558,Bailey Fay,Computer Science,4.89
559,Bo Fay,Biology,4.91
560,Jalissa Fay,Physics,1.93
561,Sena Fay,Biology,1.48
562,Angelique Fay,Biology,4.23
563,Mal Fay,Physics,1.64
564,Alfonzo Fay,Computer Science,3.16
565,Jolene Fay,Biology,3.36
566,Kaleena Fay,Chemistry,1.15
567,Reina Fay,Chemistry,2.96
568,Sal Fay,Computer Science,1.18
569,Dwan Fay,Computer Science,1.51
570,Adelia Fay,Physics,1.7
571,Tavian Fay,Biology,1.31
572,Esmeralda Fay,Math,3.63
573,Jonatan Fay,Biology,1.79
574,Linn Fay,Physics,1.28
575,Doss Fay,Physics,4.64
576,Lovie Fay,Computer Science,4.11
577,Shaneka Fay,Math,3.05
578,Alpheus Fay,Biology,1.86
579,Sean Fay,Math,3.6
580,Sophie Fay,Chemistry,2.51
581,Lissie Fay,Math,3.33
582,Willard Fay,Biology,3.03
583,Jammie Fay,Computer Science,3.63
584,Oddie Fay,Biology,2.14
585,Gwendolyn Fay,Chemistry,3.71
586,Carla Fay,Biology,2.68
587,Oneida Fay,Math,1.72
588,Cason Fay,Biology,2.87
589,Geoff Fay,Physics,4.86
590,Lydell Fay,Chemistry,2.96
591,Iver Fay,Biology,2.13
592,Susann Fay,Biology,4.4
593,Lorinda Fay,Chemistry,3.87
594,Aliyah Fay,Biology,3.43
595,Tex Fay,Chemistry,4.46
596,Margrett Fay,Physics,4.25
597,Verlene Fay,Computer Science,4.97
598,Branson Fay,Biology,2.76
599,Demetri Fay,Biology,4.68
600,Samatha Fay,Chemistry,2.59
601,Rusty Fay,Math,3.05
602,Pershing Fay,Computer Science,2.03
603,Izetta Fay,Chemistry,4.4
604,Fronia Fay,Biology,1.87
605,Alfonso Fay,Computer Science,1.3
606,Bernetta Fay,Chemistry,4.14
607,Tyshawn Fay,Physics,2.15
608,Josephine Fay,Math,3.4
609,Daren Fay,Computer Science,4.97
610,Bulah Fay,Computer Science,1.58
611,Shirl Fay,Biology,2.53
612,Casey Fay,Chemistry,1.84
613,Theodore Fay,Biology,4.16
614,Miranda Fay,Math,4.93
615,Demetria Fay,Physics,4.01
616,Reanna Fay,Computer Science,2.79
617,Jessie Fay,Physics,3.97
618,Haleigh Fay,Computer Science,3.56
619,Mannie Fay,Biology,4.28
620,Link Fay,Physics,4.8
621,Velia Fay,Biology,1.81
622,Dorian Fay,Physics,1.2
623,Nicklaus Fay,Biology,1.99
624,Nanci Fay,Biology,1.07
625,Arbie Fay,Math,1.94
626,Talon Fay,Biology,4.96
627,Kacie Fay,Chemistry,2.24
628,Tempie Fay,Biology,2.6
629,Deonta Fay,Computer Science,4.28
630,Octave Fay,Chemistry,2.64
631,Nira Fay,Computer Science,1.74
632,Heather Fay,Physics,4.14
633,Marjory Fay,Math,3.08
634,Gustave Fay,Math,4.18
635,Mara Fay,Chemistry,1.23
636,Maren Fay,Biology,2.48
637,Kali Fay,Biology,3.06
638,Ronaldo Fay,Chemistry,2.64
639,Delfina Fay,Physics,3.42
640,Maralyn Fay,Computer Science,2.42
641,Winona Fay,Math,4.58
642,Mya Fay,Chemistry,3.62
643,Emil Fay,Physics,1.02
644,Christie Fay,Chemistry,1.59
645,Cathy Fay,Physics,4.8
646,Chanie Fay,Physics,3.67
647,Isam Fay,Computer Science,3.67
648,Vernon Fay,Physics,1.0
649,Amey Fay,Computer Science,1.25
650,Selene Fay,Biology,2.37
651,Journey Fay,Chemistry,4.27
652,Windell Fay,Computer Science,4.63
653,Crissy Fay,Math,3.89
654,Lulla Fay,Physics,1.45
655,Seneca Fay,Math,4.29
656,Mace Fay,Chemistry,2.55
657,Hung Fay,Computer Science,4.1
658,Maude Fay,Biology,1.62
659,Uriel Fay,Chemistry,4.29
660,Jerri Fay,Chemistry,4.89
661,Pollie Fay,Chemistry,1.3
662,Velda Fay,Chemistry,3.74
663,Orange Fay,Chemistry,2.48
664,Foch Fay,Computer Science,1.07
665,Jeanetta Fay,Computer Science,1.74
666,Litzy Fay,Math,2.94
667,Ashly Fay,Computer Science,2.9
668,Aydin Fay,Math,3.48
669,Kecia Fay,Computer Science,1.65
670,Lylah Fay,Chemistry,3.54
671,Marlana Fay,Chemistry,2.1
672,Zita Fay,Computer Science,4.33
673,Neta Fay,Chemistry,3.38
674,Giovanni Fay,Biology,3.58
675,Hana Fay,Chemistry,3.45
676,Kourtney Fay,Biology,2.31
677,Mariah Fay,Biology,1.79
678,Marsha Fay,Math,2.29
679,Roosevelt Fay,Math,3.53
680,Bayard Fay,Math,4.63
681,Corene Fay,Physics,2.13
682,Paityn Fay,Math,2.44
683,Tanika Fay,Math,2.45
684,Sylvania Fay,Biology,1.07
685,Cleveland Fay,Computer Science,4.9
686,Bobbye Fay,Computer Science,2.31
687,Liliana Fay,Chemistry,1.23
688,Justen Fay,Math,4.96
689,Alfie Fay,Chemistry,3.08
690,Taniyah Fay,Computer Science,1.85
691,Courtland Fay,Physics,3.54
692,Nat Fay,Physics,2.06
693,Carolina Fay,Biology,2.67
694,Dudley Fay,Computer Science,1.7
695,Reno Fay,Chemistry,1.81
696,Codie Fay,Biology,2.33
697,Bentley Fay,Chemistry,3.74
698,Isidor Fay,Chemistry,1.79
699,Jeb Fay,Computer Science,3.74
700,Guthrie Fay,Physics,4.04
701,Alvira Fay,Computer Science,1.98
702,Benjamen Fay,Physics,3.11
703,Skye Fay,Chemistry,2.57
704,Tobin Fay,Computer Science,1.09
705,Jaidyn Fay,Biology,1.95
706,Caitlin Fay,Physics,1.81
707,Arely Fay,Physics,3.22
708,Shaun Fay,Math,2.77
709,Tara Fay,Physics,4.42
710,Dulcie Fay,Computer Science,2.03
711,Oris Fay,Math,1.53
712,Clinton Fay,Computer Science,1.8
713,Clarance Fay,Physics,1.42
714,Leontine Fay,Chemistry,2.11
715,Luberta Fay,Chemistry,1.51
716,Thurlow Fay,Physics,2.33
